Timestamp,ProfilingData
Sat Aug 17 16:42:58 2024,RAM 1566/1952MB (lfb 7x2MB) SWAP 3055/13264MB (cached 172MB) IRAM 0/252kB(lfb 252kB) CPU [96%@1479,96%@1479,94%@1479,93%@1479] EMC_FREQ 5%@1600 GR3D_FREQ 0%@76 APE 25 PLL@58C CPU@60.5C PMIC@50C GPU@5
Sat Aug 17 16:43:02 2024,RAM 1562/1952MB (lfb 6x2MB) SWAP 3054/13264MB (cached 172MB) IRAM 0/252kB(lfb 252kB) CPU [96%@1479,96%@1479,96%@1479,98%@1479] EMC_FREQ 6%@1600 GR3D_FREQ 0%@76 APE 25 PLL@58C CPU@60C PMIC@50C GPU@57.
Sat Aug 17 16:43:16 2024,RAM 1562/1952MB (lfb 5x2MB) SWAP 3060/13264MB (cached 169MB) IRAM 0/252kB(lfb 252kB) CPU [94%@1479,91%@1479,93%@1479,93%@1479] EMC_FREQ 5%@1600 GR3D_FREQ 0%@76 APE 25 PLL@58.5C CPU@60.5C PMIC@50C GPU
Sat Aug 17 16:43:20 2024,RAM 1576/1952MB (lfb 2x2MB) SWAP 3065/13264MB (cached 172MB) IRAM 0/252kB(lfb 252kB) CPU [97%@1479,98%@1479,97%@1479,96%@1479] EMC_FREQ 6%@1600 GR3D_FREQ 0%@76 APE 25 PLL@58.5C CPU@60.5C PMIC@50C GPU
Sat Aug 17 16:53:01 2024,RAM 1551/1952MB (lfb 3x1MB) SWAP 3242/13264MB (cached 172MB) IRAM 0/252kB(lfb 252kB) CPU [94%@1479,95%@1479,93%@1479,90%@1479] EMC_FREQ 5%@1600 GR3D_FREQ 0%@76 APE 25 PLL@58.5C CPU@60.5C PMIC@50C GPU
Sat Aug 17 16:53:05 2024,RAM 1559/1952MB (lfb 1x2MB) SWAP 3242/13264MB (cached 161MB) IRAM 0/252kB(lfb 252kB) CPU [93%@1479,94%@1479,93%@1479,92%@1479] EMC_FREQ 6%@1600 GR3D_FREQ 0%@76 APE 25 PLL@58.5C CPU@60.5C PMIC@50C GPU
Sat Aug 17 20:51:47 2024,RAM 1438/1952MB (lfb 1x2MB) SWAP 7019/13264MB (cached 66MB) IRAM 0/252kB(lfb 252kB) CPU [85%@1428,82%@1428,78%@1428,81%@1428] EMC_FREQ 3%@1600 GR3D_FREQ 0%@76 APE 25 PLL@60C CPU@61C PMIC@50C GPU@59C 
Sat Aug 17 20:52:01 2024,RAM 1449/1952MB (lfb 1x1MB) SWAP 7017/13264MB (cached 55MB) IRAM 0/252kB(lfb 252kB) CPU [87%@1479,81%@1479,81%@1479,81%@1479] EMC_FREQ 5%@1600 GR3D_FREQ 0%@76 APE 25 PLL@60C CPU@61.5C PMIC@50C GPU@59
Sat Aug 17 20:52:15 2024,RAM 1449/1952MB (lfb 1x2MB) SWAP 7007/13264MB (cached 43MB) IRAM 0/252kB(lfb 252kB) CPU [95%@1479,96%@1479,95%@1479,95%@1479] EMC_FREQ 6%@1600 GR3D_FREQ 0%@76 APE 25 PLL@61.5C CPU@63C PMIC@50C GPU@59
Sat Aug 17 20:52:30 2024,RAM 1461/1952MB (lfb 4x1MB) SWAP 7001/13264MB (cached 36MB) IRAM 0/252kB(lfb 252kB) CPU [99%@1479,98%@1479,98%@1479,98%@1479] EMC_FREQ 7%@1600 GR3D_FREQ 0%@76 APE 25 PLL@62C CPU@63C PMIC@50C GPU@60C 
Sat Aug 17 20:52:43 2024,RAM 1489/1952MB (lfb 4x1MB) SWAP 6963/13264MB (cached 30MB) IRAM 0/252kB(lfb 252kB) CPU [68%@1479,58%@1479,64%@1479,63%@1479] EMC_FREQ 5%@1600 GR3D_FREQ 0%@76 APE 25 PLL@61C CPU@62C PMIC@50C GPU@60C 
